City,Country,Date,Lng,Lat,Max Temp,Cloudiness,Humidity,Wind Speed
Polunochnoye,RU,1586483965,60.42,60.87,1.62,100,83,3.41
Klaksvik,FO,1586483967,-6.59,62.23,4.0,45,93,0.5
Ambilobe,MG,1586483968,49.05,-13.2,21.95,0,86,2.08
Barsovo,RU,1586483970,73.17,61.17,-2.0,19,63,5.0
Kasama,ZM,1586483972,31.18,-10.21,14.9,72,67,2.11
Tuy Hoa,VN,1586483973,109.3,13.08,28.24,96,71,2.58
Okhotsk,RU,1586483974,143.3,59.38,0.16,0,93,4.03
Jeremie,HT,1586483975,-74.12,18.65,25.26,7,77,1.61
Monforte De Lemos,ES,1586483977,-7.51,42.52,13.89,90,94,0.85
Hamilton,US,1586483707,-84.53,39.18,5.0,90,80,4.1
Bayir,TR,1586483979,28.22,37.27,8.0,0,93,2.1
Ostrovnoy,RU,1586483980,39.51,68.05,-11.01,31,94,6.36
Dzhankoy,UA,1586483981,34.4,45.72,7.58,0,68,2.65
Warragul,AU,1586483982,145.93,-38.17,21.11,56,66,1.79
Ancud,CL,1586483700,-73.82,-41.87,12.0,20,93,4.1
Mandan,US,1586483985,-100.89,46.83,2.0,1,58,2.6
Coahuayana,MX,1586483986,-103.68,18.73,24.97,0,50,1.08
Chernyshevskiy,RU,1586483987,112.47,63.01,0.73,100,85,4.1
Nanlong,CN,1586483989,106.06,31.35,18.1,100,67,3.25
Batemans Bay,AU,1586483990,150.18,-35.72,18.33,93,100,0.89
Atambua,ID,1586483991,124.89,-9.11,27.55,1,63,1.37
Lincoln,US,1586483992,-96.67,40.8,4.44,1,43,7.7
Victoria Point,AU,1586483993,153.3,-27.58,26.11,75,78,4.6
Goderich,CA,1586483813,-81.72,43.75,3.89,95,85,5.36
Graaff-Reinet,ZA,1586483996,24.53,-32.25,18.74,99,31,2.25
Nova Olimpia,BR,1586483998,-57.29,-14.8,22.02,35,77,1.4
Padilla,CO,1586484000,-76.31,3.22,24.0,75,73,1.5
Macklin,CA,1586484001,-109.93,52.33,0.01,100,73,2.86
Tawang,IN,1586484002,91.87,27.58,11.91,26,18,1.17
Medzilaborce,SK,1586484004,21.9,49.27,10.0,33,49,2.11
Lewistown,US,1586484006,-77.57,40.6,6.11,75,80,10.8
Caldwell,US,1586483730,-116.69,43.66,24.0,1,24,2.6
Dourbali,TD,1586484008,15.86,11.81,26.8,85,15,2.49
Progreso,MX,1586484010,-89.67,21.28,30.0,20,66,5.7
Ankazoabo,MG,1586484011,44.52,-22.28,19.65,97,71,1.84
Vega De Alatorre,MX,1586484012,-96.63,20.03,26.54,98,80,4.72
Hambantota,LK,1586484014,81.12,6.12,28.12,9,73,2.64
Champasak,LA,1586484015,106.0,14.75,29.0,40,66,2.1
Bilma,NE,1586484016,12.92,18.69,23.69,100,16,6.58
Kushmurun,KZ,1586484017,64.63,52.45,4.83,98,72,6.15
Casper,US,1586484019,-106.31,42.87,11.0,1,29,5.1
Nizhniy Odes,RU,1586484020,54.86,63.64,-0.22,98,93,0.95
Ziniare,BF,1586484021,-1.3,12.58,31.0,20,52,5.41
Nome,US,1586484022,-165.41,64.5,-6.11,90,85,6.7
Aktas,KZ,1586484024,72.96,49.78,-1.0,58,80,5.0
Canavieiras,BR,1586484025,-38.95,-15.68,23.54,95,94,2.12
Christchurch,NZ,1586484002,172.63,-43.53,20.56,98,49,3.1
Dongsheng,CN,1586484029,109.98,39.82,4.11,91,31,7.2
Harper,LR,1586484030,-7.72,4.38,26.69,5,81,1.69
Saint-Pierre,RE,1586484031,55.48,-21.34,24.0,2,69,2.6
Rio Grande,BR,1586484032,-52.1,-32.03,17.0,75,77,4.1
Henties Bay,NA,1586484034,14.28,-22.12,16.11,40,91,0.45
Hanzhong,CN,1586484035,107.03,33.07,20.29,100,45,2.2
Stutterheim,ZA,1586484036,27.42,-32.57,18.35,67,41,5.18
Limon,CR,1586484037,-83.03,10.0,28.33,100,87,2.24
Ano Mera,GR,1586484038,25.4,37.45,14.44,0,47,4.6
Hokitika,NZ,1586484040,170.97,-42.72,16.31,87,62,1.65
Navrongo,GH,1586484041,-1.09,10.9,29.94,95,45,3.07
Makakilo City,US,1586484042,-158.09,21.35,27.0,40,57,5.1
Aviles,ES,1586484043,-5.92,43.55,15.56,20,100,2.1
Cehegin,ES,1586484045,-1.8,38.09,15.0,100,71,0.72
Dunedin,NZ,1586484046,170.5,-45.87,18.33,0,56,3.13
Carutapera,BR,1586484047,-46.02,-1.2,26.4,100,83,2.43
Sobolevo,RU,1586484048,31.9,54.43,3.68,66,78,4.91
Jumla,NP,1586484050,82.18,29.27,13.55,97,15,0.81
Sao Felix Do Xingu,BR,1586484051,-51.99,-6.64,23.19,100,90,0.65
Almeirim,BR,1586484052,-52.58,-1.52,23.71,82,94,0.21
Jiazi,CN,1586484053,116.07,22.88,23.17,12,53,7.11
Tongren,CN,1586484054,109.19,27.72,19.14,99,71,0.84
Linxia,CN,1586484056,103.21,35.6,9.15,82,21,5.14
Balakhta,RU,1586484057,91.6,55.38,0.75,100,79,0.45
Husavik,IS,1586484058,-17.34,66.04,-5.0,75,85,0.5
Zelenets,RU,1586484059,50.75,61.88,1.0,100,69,1.0
Maloy,NO,1586484061,5.11,61.94,4.0,99,60,2.6
Wewak,PG,1586484062,143.63,-3.55,28.85,63,75,3.24
Puerto Del Rosario,ES,1586484063,-13.86,28.5,20.0,97,82,5.1
Pangnirtung,CA,1586484064,-65.71,66.15,-11.5,0,79,1.68
Souillac,MU,1586484063,57.52,-20.52,26.0,40,78,3.1
Bandarbeyla,SO,1586484067,50.81,9.49,26.41,67,67,2.03
College,US,1586484068,-147.8,64.86,-3.0,20,29,3.6
Bathsheba,BB,1586484069,-59.52,13.22,26.0,20,78,4.6
Morondava,MG,1586484070,44.28,-20.28,25.34,90,70,4.26
Denpasar,ID,1586483862,115.22,-8.65,30.0,20,84,3.1
Kahama,TZ,1586484073,32.6,-3.83,16.69,99,67,2.35
Hofn,IS,1586484074,-15.21,64.25,0.69,100,90,6.62
Chlorakas,CY,1586484075,32.41,34.8,13.0,20,93,3.1
Georgiyevka,KZ,1586484078,74.71,43.04,-3.0,0,73,2.0
Ferrol,ES,1586484079,-8.24,43.48,16.11,75,87,2.1
San Francisco,US,1586484000,-122.42,37.77,18.0,75,63,4.1
Viedma,AR,1586483799,-63.0,-40.81,17.02,0,38,6.67
Beaumont,US,1586484082,-94.1,30.09,22.0,90,83,6.2
Winchester,GB,1586484084,-1.32,51.07,12.78,38,71,1.0
Abu Samrah,SY,1586484086,37.18,35.3,9.81,30,73,4.62
Itamaraju,BR,1586484087,-39.53,-17.04,22.03,100,95,0.92
Yumen,CN,1586484089,97.2,40.28,9.87,0,21,12.08
Phan Thiet,VN,1586484090,108.1,10.93,30.86,87,60,5.71
Belyy Yar,RU,1586484091,91.39,53.6,2.0,40,64,4.0
Rybinsk,RU,1586484092,38.84,58.04,3.13,100,83,4.59
Wembley,AU,1586484093,115.8,-31.93,31.67,48,48,2.6
Valparaiso,CL,1586484095,-71.63,-33.04,15.0,75,82,1.5
Beloha,MG,1586484096,45.05,-25.17,20.81,97,79,7.87
Ponerihouen,NC,1586484097,165.4,-21.08,26.03,31,63,4.67
Byron Bay,AU,1586483804,153.62,-28.65,22.78,75,94,2.1
Lethem,GY,1586484100,-59.8,3.38,28.22,99,63,1.61
Itinga,BR,1586484101,-41.77,-16.61,22.16,96,81,1.31
Natal,BR,1586483933,-35.21,-5.79,27.0,20,88,1.5
Sarakhs,IR,1586484103,61.16,36.54,5.0,94,80,3.1
Mumford,GH,1586484106,-0.76,5.26,26.81,0,87,2.28
Alta,NO,1586484107,23.27,69.97,-3.0,79,86,4.1
Ewa Beach,US,1586484108,-158.01,21.32,27.0,20,57,6.2
Ketchikan,US,1586484109,-131.65,55.34,8.0,20,49,7.7
Zharkent,KZ,1586484110,80.0,44.16,4.75,12,50,2.15
Walvis Bay,NA,1586484112,14.51,-22.96,16.11,84,82,3.6
Catamarca,AR,1586483935,-65.79,-28.47,16.28,64,50,1.37
Cimarron Hills,US,1586484114,-104.7,38.86,13.0,20,37,6.2
Komsomolskiy,UZ,1586484115,71.72,40.43,2.0,21,69,4.1
Tacuati,PY,1586484116,-56.58,-23.45,16.44,29,47,1.76
Moindou,NC,1586484118,165.68,-21.69,28.0,90,51,5.7
Ghatsila,IN,1586484119,86.48,22.6,24.0,0,78,1.5
Dovers,VC,1586484120,-61.18,12.88,26.21,81,80,7.05
El Dorado,US,1586484121,-92.67,33.21,19.0,1,52,3.1
Margate,GB,1586484122,1.39,51.38,12.78,3,100,2.6
Tabuk,PH,1586484124,121.44,17.42,28.78,59,57,1.52
Mayna,RU,1586484125,47.62,54.11,6.76,94,72,6.52
Shirokiy,RU,1586484127,129.52,49.76,9.58,85,47,4.95
Digby,CA,1586484128,-65.77,44.62,3.89,100,62,6.71
Junction City,US,1586484131,-96.83,39.03,9.44,1,26,4.6
Gualeguay,AR,1586484132,-59.31,-33.14,11.36,0,91,2.74
Pacific Grove,US,1586484133,-121.92,36.62,16.11,90,67,2.1
Japura,ID,1586484134,102.35,-0.32,28.88,84,80,0.76
Shakawe,BW,1586484136,21.85,-18.37,17.3,4,70,1.95
Candolim,IN,1586484137,73.76,15.52,28.12,3,50,0.82
Igarka,RU,1586484138,86.58,67.47,-3.51,100,96,11.03
Mackay,AU,1586484139,149.2,-21.15,28.33,75,78,3.6
Aqtobe,KZ,1586484140,57.21,50.28,-3.0,41,79,5.0
Dunmore East,IE,1586484142,-6.99,52.15,10.56,100,81,1.34
Ous,RU,1586484143,61.52,60.91,1.45,97,87,4.19
Port Augusta,AU,1586484144,137.77,-32.5,24.44,24,41,3.6
Sumbe,AO,1586484145,13.84,-11.21,24.63,2,86,0.64
Sorada,IN,1586484146,84.43,19.75,34.49,0,27,1.0
Paducah,US,1586484148,-88.6,37.08,14.0,1,30,2.1
Kota Tinggi,MY,1586484149,103.9,1.74,29.0,20,83,1.5
Tyup,KG,1586484152,78.36,42.73,1.17,0,41,0.62
La Paz,BO,1586484153,-68.15,-16.5,8.0,20,65,1.0
Bahia Honda,CU,1586484154,-83.16,22.9,25.08,0,75,0.61
Port-Cartier,CA,1586484155,-66.87,50.03,-1.67,20,68,3.1
Sorong,ID,1586484156,131.25,-0.88,30.65,1,57,2.4
Mitsamiouli,KM,1586484157,43.28,-11.38,28.62,87,75,8.27
Talcahuano,CL,1586484159,-73.12,-36.72,11.0,53,93,1.0
Gornyak,RU,1586484161,81.47,50.99,4.72,0,60,3.81
Alizai,PK,1586484162,70.35,33.54,17.76,1,45,0.04
Finschhafen,PG,1586484163,147.87,-6.6,28.88,100,71,3.4
San Carlos De Bariloche,AR,1586484122,-71.31,-41.15,15.0,74,54,3.1
Chabahar,IR,1586484166,60.64,25.29,26.68,0,56,1.42
Caramay,PH,1586484167,119.24,10.18,30.3,65,64,4.47
Manta,EC,1586484168,-80.73,-0.95,28.0,75,69,2.1
Kamenka,RU,1586484169,42.77,51.32,7.78,89,49,1.79
Breytovo,RU,1586484171,37.86,58.3,2.84,100,77,4.91
Galiakot,IN,1586484172,74.0,23.52,30.41,0,15,2.9
Bezhanitsy,RU,1586484174,29.89,56.98,0.27,1,91,3.38
Port Macquarie,AU,1586484175,152.92,-31.43,20.56,75,88,0.5
Iranshahr,IR,1586484178,60.68,27.2,26.71,16,27,0.46
Sibolga,ID,1586484179,98.78,1.74,29.03,100,66,0.56
Ocosingo,MX,1586484180,-92.25,17.07,21.8,13,45,1.37
Lucea,JM,1586484181,-78.17,18.45,27.0,20,78,2.1
Starosubkhangulovo,RU,1586484183,57.44,53.1,1.97,35,71,3.5
